Question,Answer
우리는 노드가 도달했다고 어떻게 말할 수 있나요?,노드에 대한 노드가 생성되었습니다.
최고 우선 탐색이란 무엇인가요?,"""우리는 노드를 선택합니다"""
노드란 무엇인가요?,트리의 노드는 다음 네 가지 구성 요소로 이루어진 데이터 구조로 표현됩니다: 상태(State); 부모(Parent); 행동(Action); 경로 비용(Path cost).
노드의 구성 요소는 무엇인가요?,상태; 부모; 행동; 경로 비용.
큐란 무엇인가요?,경계를 저장하는 데 사용되는 데이터 구조.
프론티어에서 가능한 작업은 무엇인가요?,다음과 같이 번역할 수 있습니다: 빈지 확인한다; 최상위 노드를 제거한다; 최상위 노드를 반환한다; 노드를 적절한 위치에 삽입한다.
우선순위 큐란 무엇인가요?,"""어떤 평가 함수에 따라 최소 비용의 노드를 먼저 제거하는 일종의 대기열"""
우선순위 큐는 어디에 사용될 수 있나요?,최고 우선 탐색에서 사용됩니다.
선입선출(FIFO) 큐란 무엇인가요?,큐에 처음 추가된 노드를 먼저 제거하는 일종의 큐입니다.
FIFO 큐는 어디에 사용될 수 있나요?,너비 우선 탐색에 사용됩니다.
마지막 들어온 것이 먼저 나가는(LIFO) 큐란 무엇인가요?,가장 최근에 큐에 추가된 노드를 먼저 꺼내는 일종의 큐입니다.
LIFO 큐는 어디에 사용될 수 있나요?,깊이 우선 탐색에 사용됩니다.
검색에서 루프 경로의 예는 무엇인가요?,검색은 두 상태 사이에서 반복적으로 이루어진다.
루프 경로가 발생하면 검색에 어떤 가능한 결과가 있을까요?,전체 탐색 트리는 무한합니다.
검색에서 제거해야 할 것은 무엇인가요?,중복 경로.
중복 경로를 제거하는 데 사용될 수 있는 가능한 방법은 무엇입니까?,모든 이전에 도달한 상태를 기억하여 중복 경로를 감지하시오; 사소한 문제 형식에는 고려하지 마시오; 일반적으로 중복 경로가 아닌 사이클만 확인하시오.
그래프 탐색이란 무엇인가요?,중복 경로를 확인하는 탐색 알고리즘.
트리 구조 검색이란 무엇인가요?,불필요한 경로를 검사하지 않는 탐색 알고리즘.
그래프 검색 알고리즘의 예는 무엇인가요?,브레스트-퍼스트-서치 알고리즘
알고리즘 성능에 대한 평가 방법은 무엇인가요?,완전성; 비용 최적성; 시간 복잡도; 공간 복잡도.
"""완전성은 알고리즘의 성능에서 구체적으로 무엇을 평가합니까?""","""알고리즘이 해결책이 존재할 때 반드시 해결책을 찾을 수 있나요?"""
비용 최적성은 알고리즘의 성능에서 무엇을 구체적으로 평가합니까?,모든 솔루션 중에서 가장 낮은 경로 비용을 가진 솔루션을 찾나요?
시간 복잡도는 알고리즘의 성능에서 무엇을 구체적으로 평가하나요?,"""해결책을 찾는 데 얼마나 걸리나요? 이는 초로 측정할 수 있습니다."""
공간 복잡도는 알고리즘의 성능에서 무엇을 구체적으로 평가하나요?,검색을 수행하는 데 필요한 메모리 용량은 얼마인가요?
어떤 종류의 탐색 알고리즘이 완전할까요?,"""무한 상태 공간을 탐색하는 방식에서 체계적인 탐색 알고리즘"""
알고리즘 성능에 대한 어떤 평가 방법이 문제의 난이도 측정과 관련하여 고려되나요?,시간 및 공간 복잡성.
알고리즘의 복잡성을 측정하는 데 어떤 변수를 사용할 수 있을까요?,"It seems there might be a mistake in your request since ""d"" is just a single letter. If you meant something else, please provide the full text you would like to translate."
정보 검색 전략이란 무엇인가요?,목표 위치에 대한 도메인 특화 힌트를 사용하는 것.
휴리스틱 함수란 무엇인가요?,노드 n의 상태에서 목표 상태까지의 최저 비용 추정치입니다.
탐욕적 최우선 탐색이란 무엇인가요?,탐욕적 최우선 탐색은 가장 낮은 값을 가진 노드를 먼저 확장하여 빠르게 해결책에 도달할 가능성이 높다는 이유로 최우선 탐색의 한 형태입니다.
"왜 이 알고리즘이 ""탐욕적""이라고 불리나요?",매 반복마다 목표에 최대한 가깝게 다가가려고 합니다.
A* 탐색이란 무엇인가요?,A* 탐색은 평가 함수 f(n) = g(n) + h(n)을 사용하는 최적 우선 탐색입니다.
g(n)은 무엇인가요?,g(n)은 초기 상태에서 노드 n까지의 경로 비용입니다.
f(n)은 무엇입니까?,f(n)은 n에서 목표까지 계속되는 최상의 경로의 추정 비용입니다.
A* 검색의 특성은 무엇인가요?,"""A* 탐색이 완료되었습니다."""
A* 검색의 단점은 무엇인가요?,A* 검색은 많은 공간과 메모리를 사용한다.
허용 가능한 휴리스틱이란 무엇인가요?,허용 가능한 휴리스틱은 목표에 도달하는 비용을 절대로 과대 평가하지 않는 것입니다.
컨투어란 무엇인가요?,윤곽선은 상태 공간에서 검색을 표현하기 위해 그리는 유용한 방법입니다.
유형 비용 탐색에 외곽선이 있나요?,"""네"""
균일 비용 탐색의 윤곽선은 어떻게 생겼나요?,"""균일 비용 탐색을 사용한 윤곽선은 시작 상태 주위에 '원형'이 될 것입니다."""
"""satisficing solutions""는 무엇인가요?","""Satisficing solutions는 최적이 아닌 해결책을 수용할 때를 의미합니다."""
경계가 있는 비최적 검색이란 무엇인가요?,우리는 최적 비용의 상수 계수 W 이내에 보장된 해결책을 찾고 있습니다.
어떤 알고리즘이 한계가 있는 비최적 탐색을 제공합니다?,가중 A* 알고리즘은 제한된 준최적 검색을 제공합니다.
제한 비용 탐색이란 무엇인가요?,우리는 비용이 일정한 C보다 적은 솔루션을 찾습니다.
무한 비용 탐색이란 무엇인가요?,"""우리는 어떤 비용의 해결책도 수용합니다."""
무한 비용 탐색 알고리즘의 예는 무엇인가요?,비경계 비용 탐색 알고리즘의 예로는 스피디 서치가 있습니다.
속도 검색이란 무엇인가요?,"""신속 검색은 목표에 도달하는 데 필요한 예상 행동 수를 휴리스틱으로 사용하는 탐욕적 최우선 검색의 한 형태입니다."""
Iterative-deepening A* 검색이란 무엇인가요?,반복 심화 A* 검색(IDA*)는 A*에 대해 반복 심화 검색이 깊이 우선 탐색에 해당하는 것과 같습니다.
Iterative-deepening A* 검색의 장점은 무엇인가요?,"""반복 심화 A* 검색은 모든 도달 상태를 메모리에 유지할 필요 없이 A*의 이점을 제공합니다."""
재귀적 최우선 탐색이란 무엇인가요?,재귀적 최우선 탐색은 표준 최우선 탐색의 작동 방식을 모방하려고 시도합니다.
빔 서치란 무엇인가요?,"""빔 서치는 경계의 크기에 제한을 두기 때문에, 그것은 불완전하고 최적이 아닙니다."""
좋은 휴리스틱을 만드는 방법은?,"""문제 정의를 완화하여 유용한 휴리스틱을 만들 수 있는 경우가 있다."""
로컬 검색 알고리즘은 어떻게 작동하나요?,"""지역 검색 알고리즘은 시작 상태에서 이웃 상태로 검색하여 작동합니다."""
지역 탐색 알고리즘은 체계적입니까?,"""아니요"""
지역 탐색 알고리즘의 장점은 무엇인가요?,"그들은 매우 적은 메모리를 사용하며, 체계적인 알고리즘이 적합하지 않은 크고 무한한 상태 공간에서도 종종 합리적인 해결책을 찾을 수 있습니다."
힐 클라이밍 탐색 알고리즘이란 무엇인가요?,"힐 클라이밍 탐색 알고리즘은 현재 상태를 하나 추적하고, 각 반복에서 가장 높은 값을 가진 이웃 상태로 이동합니다."
"""왜 힐 클라이밍이 탐욕적 지역 검색이라고 불리나요?""",언덕 오르기는 다음에 어디로 갈지에 대한 고려 없이 좋은 이웃 상태를 잡아채기 때문에 탐욕적인 국소 탐색이라고 불립니다.
힐 클라이밍의 단점은 무엇인가요?,"""힐 클라이밍은 지역 최대값에 도달하면 정체될 수 있습니다."""
지역 최대값이란 무엇인가요?,"지역 최댓값은 이웃한 각 상태보다 높은 정점이지만, 전역 최댓값보다는 낮은 값입니다."
평야란 무엇인가요?,플래토는 상태 공간 경관의 평평한 지역입니다.
"""플라토의 예는 무엇인가요?""","""플래토는 평평한 지역 최대값입니다."""
확률적 힐 클라이밍이란 무엇인가요?,확률적 힐 클라이밍은 업힐 이동 중에서 무작위로 선택합니다. 선택 확률은 업힐 이동의 경사도에 따라 달라질 수 있습니다.
1차 선택 힐 클라이밍은 무엇인가요?,1순위 힐 클라이밍은 현재 상태보다 더 나은 후속 상태가 생성될 때까지 무작위로 후속 상태를 생성하여 확률적 힐 클라이밍을 구현합니다.
무작위 재시작 오류 등반이란 무엇인가요?,무작위 재시작 힐 클라이밍은 무작위로 생성된 초기 상태에서 일련의 힐 클라이밍 탐색을 수행합니다.
성공적인 힐 클라이밍을 위한 방법은 무엇인가요?,"""성공적인 힐 클라이밍은 상태 공간의 지형에 크게 의존합니다: 지역 최대값과 고원이 적으면"""
시뮬레이티드 어닐링이란 무엇인가요?,모의 담금질은 효율성과 완전성을 모두 제공하는 방식으로 언덕 오르기와 무작위 탐색을 결합합니다.
어닐링이란 무엇인가요?,"""풀림은 금속과 유리를 강화하거나 경화하기 위해 고온으로 가열한 후 서서히 식히는 과정을 의미합니다."""
로컬 빔 검색이란 무엇인가요?,지역 빔 탐색 알고리즘은 단일 상태가 아닌 k 개의 상태를 추적합니다.
지역 빔 검색은 어떻게 작동하나요?,"""무작위로 생성된 k개의 상태로 시작합니다. 각 단계에서"""
진화 알고리즘이란 무엇인가요?,진화 알고리즘은 생물학에서 자연 선택의 은유에 의해 명시적으로 동기를 부여받은 확률적 빔 탐색의 변형으로 볼 수 있습니다.
유전 알고리즘이란 무엇인가요?,"""유전자 알고리즘은 확률적 빔 검색과 유사합니다."""
유전 알고리즘이 유리한 경우는 언제인가요?,유전 알고리즘은 유용한 기능을 수행하는 블록이 있을 때 유리합니다.
경험적 그래디언트 방법이란 무엇인가요?,경험적 기울기 방법은 두 개의 인접한 점 사이에서 목표 함수의 값 변화로 진행 상황을 측정하는 방법입니다.
신념 상태란 무엇인가요?,신념 상태는 에이전트가 가능하다고 믿는 물리적 상태들의 집합입니다.
센서리스 문제란 무엇인가요?,센서리스 문제란 에이전트의 인식이 전혀 정보를 제공하지 않는 경우를 말합니다.
오프라인 검색 알고리즘이란 무엇인가요?,오프라인 검색 알고리즘은 첫 번째 행동을 취하기 전에 완전한 솔루션을 계산합니다.
온라인 검색 알고리즘이란 무엇인가요?,"""온라인 검색 알고리즘은 먼저 행동을 취합니다."""
온라인 검색 문제는 어떻게 해결되나요?,"""온라인 검색 문제는 계산을 교차하여 해결됩니다."""
경쟁 비율이란 무엇인가요?,경쟁 비율은 에이전트가 검색 공간을 미리 알고 있을 경우 발생할 경로 비용과 비용을 비교하는 것입니다.
막다른 길은 무엇인가요?,막다른 길은 목표 상태에 도달할 수 없는 상태입니다.
"""안전하게 탐험할 수 있는 것의 의미는 무엇인가요?""",안전하게 탐색할 수 있는 것은 모든 도달 가능한 상태에서 어떤 목표 상태에 도달할 수 있을 때를 의미합니다.
무작위 보행이란 무엇인가요?,무작위 걷기는 현재 상태에서 사용할 수 있는 행동 중 하나를 무작위로 선택합니다.
경쟁 환경이란 무엇인가요?,경쟁 환경은 두 개 이상의 행위자가 상충하는 목표를 가지고 있는 환경입니다.
경제란 무엇인가요?,경제는 집합적으로 매우 많은 수의 경제 주체를 고려해야 한다.
운 요소가 포함된 게임의 예는 무엇인가요?,예시로 주사위를 굴리거나 카드를 섞는 것이 있습니다.
불완전 정보 게임의 예는 무엇인가요?,예시는 포커와 브리지입니다.
"""완전 정보란 무엇인가요?""",완전한 정보란 게임이 완전히 관찰 가능할 때를 의미합니다.
"""제로섬이란 무엇인가요?""",“제로섬”은 한 플레이어에게 좋은 것이 다른 플레이어에게는 똑같이 나쁘다는 의미입니다: “윈-윈” 결과는 존재하지 않습니다.
게임의 공식적으로 정의된 요소는 무엇인가요?,"""게임은 초기 상태로 공식적으로 정의될 수 있습니다."""
말기 시험이란 무엇인가요?,"게임이 끝났을 때 종료 테스트는 참이고, 그렇지 않으면 거짓입니다."
단말 상태란 무엇인가요?,종단 상태는 게임이 종료된 상태를 의미합니다.
효용 함수란 무엇인가요?,효용 함수는 게임이 터미널 상태 s에서 종료될 때 플레이어 p의 최종 숫자 값을 정의합니다.
유틸리티 함수의 다른 이름은 무엇인가요?,유틸리티 함수의 다른 이름은 목적 함수 또는 보상 함수입니다.
상태 공간 그래프란 무엇인가요?,"""상태 공간 그래프는 정점이 상태인 그래프입니다."""
우리는 미니맥스 탐색을 언제 사용하나요?,우리는 여러 결과 점수가 있는 게임에서 미니맥스 검색을 사용합니다.
플라이란 무엇인가요?,"""Ply는 한 플레이어의 한 번의 움직임을 명확하게 의미하는 데 사용됩니다."""
미니맥스 탐색 알고리즘이란 무엇인가요?,미니맥스 탐색 알고리즘은 모든 행동을 시도하고 결과 상태의 미니맥스 값이 가장 높은 행동을 선택하여 MAX를 위한 최선의 움직임을 찾습니다.
미니맥스 탐색 알고리즘은 재귀적입니까?,"""네"""
미니맥스 탐색 알고리즘의 시간 복잡도는 무엇인가요?,미니맥스 알고리즘의 시간 복잡도는 트리의 최대 깊이가 m이고 각 시점에서 b개의 허용된 이동이 있을 경우 O(b^m)입니다.
알파-베타 가지 치기란 무엇인가요?,알파-베타 가지치기는 결과에 영향을 주지 않는 큰 부분을 가지치기하여 모든 상태를 조사하지 않고 올바른 미니맥스 결정을 계산하는 특정 기술입니다.
Type A 전략이란 무엇인가요?,"""A형 전략은 탐색 트리에서 특정 깊이까지 모든 가능한 움직임을 고려합니다."""
Type B 전략이란 무엇인가요?,"""B형 전략은 나쁘게 보이는 움직임을 무시합니다."""
Type A 전략과 Type B 전략의 차이점은 무엇인가요?,"""유형 A 전략은 나무의 넓지만 얕은 부분을 탐색합니다."""
A 전략의 예시가 되는 게임은 무엇인가요?,대부분의 체스 프로그램은 A형 전략을 사용해왔습니다.
Type B 전략을 가진 게임의 예는 무엇인가요?,대부분의 바둑 프로그램은 더 자주 B형 전략을 사용합니다.
전진 가지치기란 무엇인가요?,"""전방 가지치기는 좋지 않은 수처럼 보이는 수를 가지치기합니다."""
몬테 카를로 트리 탐색을 사용하는 이유는 무엇인가요?,"""우리는 알파-베타 검색이 4 또는 5 플라이로만 제한되기 때문에 몬테카를로 트리 검색을 사용합니다."""
스톡캐스틱 게임이란 무엇인가요?,"""확률 게임은 무작위 요소를 포함함으로써 실제 삶의 예측 불가능성에 좀 더 가까워지게 합니다."""
확률적 게임의 예시는 무엇인가요?,백개먼은 운과 기술이 결합된 전형적인 확률 게임입니다.
부분적으로 관찰 가능한 게임이란 무엇인가요?,"부분적으로 관찰 가능한 게임은 정찰병과 스파이를 이용하여 정보를 수집하고, 적을 혼란스럽게 하기 위해 은폐와 블러핑을 사용하는 것을 포함합니다."
부분적으로 관찰 가능한 게임의 예는 무엇인가요?,비디오 게임인 스타크래프트는 부분적으로 관찰 가능한 게임의 예입니다.
확률적 부분 관찰 게임이란 무엇인가요?,확률적 부분 관찰 게임은 누락된 정보가 카드의 무작위 배분에 의해 생성되는 게임입니다.
확률적 부분 관찰 게임의 예는 무엇인가요?,"""브리지와 같은 카드 게임"""
몬테카를로 탐색이 선호되는 경우는 언제인가요?,"""가지치기 계수가 높거나 평가 함수를 정의하기 어려울 때"""
알파-베타 탐색의 한계는 무엇인가요?,알파-베타 탐색의 한계는 휴리스틱 함수의 오류에 취약하다는 점입니다.
몬테 카를로 탐색의 한계는 무엇인가요?,몬테 카를로의 한계는 합법적인 이동의 값을 계산하도록 설계되었다는 점입니다.
메타 사고란 무엇인가요?,메타 추론은 어떤 컴퓨팅을 수행할지에 대한 추론의 일종입니다.
제약 만족 문제란 무엇인가요?,제약 충족 문제는 각 변수가 변수에 대한 모든 제약 조건을 만족하는 값을 가질 때 해결되는 문제입니다.
제약 만족 문제의 구성 요소는 무엇인가요?,"""세 가지 구성 요소는 변수 집합(X)입니다."""
일관된 또는 합법적인 양도란 무엇인가요?,일관된 또는 합법적인 할당은 어떤 제약 조건도 위반하지 않는 할당입니다.
완전한 과제란 무엇인가요?,완전한 할당은 모든 변수가 값에 할당된 경우를 말합니다.
CSP의 해답은 무엇인가요?,"""CSP의 해는 일관된 해결책입니다."""
부분 과제가 무엇인가요?,부분 할당은 일부 변수가 할당되지 않은 상태를 의미합니다.
부분 해답이란 무엇인가요?,부분 해결책은 일관된 부분 할당입니다.
우리는 왜 문제를 CSP(제약 만족 문제)로 공식화하는가?,그 이유 중 하나는 CSP가 다양한 문제에 대한 자연스러운 표현을 제공하기 때문입니다. 문제를 CSP로 쉽게 정식화할 수 있는 경우가 많습니다.
선형 제약이란 무엇인가요?,선형 제약 조건은 각 변수가 오직 선형 형태로만 나타나는 제약 조건입니다.
유일 제약 조건이란 무엇인가요?,유니 레 세제약은 단일 변수의 값을 제한합니다.
글로벌 제약이란 무엇인가요?,글로벌 제약은 임의의 개수의 변수를 포함하는 제약입니다.
제약 전파란 무엇인가요?,"""변수에 대한 유효한 값의 수를 줄이기 위해 제약 조건을 사용하고 있습니다."""
노드 일관성이란 무엇인가요?,단일 변수가 노드 일관성(node-consistent)하려면 변수의 도메인에 있는 모든 값이 변수의 단일 제약 조건(unary constraints)을 만족해야 합니다.
아크 일관성이란 무엇인가요?,"CSP에서 변수는 아크 일관성이 있다고 할 수 있는데, 이는 해당 변수의 도메인 내 모든 값이 변수의 이진 제약 조건을 만족할 때를 의미합니다."
호환성을 유지하는 알고리즘의 예시는 무엇인가요?,가장 인기 있는 호 일관성을 유지하기 위한 알고리즘은 AC-3이라고 불립니다.
경로 일관성이 무엇을 할 수 있나요?,경로 일관성은 변수의 세 쌍을 살펴봄으로써 유추된 암묵적 제약을 사용하여 이진 제약을 강화합니다.
최소 잔여 값이란 무엇인가요?,"최소 잔여 값(minimum-remaining-value)은 가장 적은 ""유효한"" 값을 가진 변수를 선택하는 아이디어입니다."
"""디그리 휴리스틱이 무엇을 할 수 있나요?""",차수 휴리스틱은 다른 할당되지 않은 변수들에 대한 제약 조건의 수가 가장 많은 변수를 선택함으로써 향후 선택의 분기 계수를 줄이려고 시도합니다.
최소 제약 값 휴리스틱은 무엇을 할 수 있나요?,최소 제약 값 휴리스틱은 제약 그래프에서 이웃 변수들에 대해 가장 적은 선택지를 배제하는 값을 선호합니다.
백트래킹 검색 알고리즘의 정책은 무엇인가요?,백트래킹 탐색 알고리즘은 이전 변수로 되돌아가서 그 변수에 대한 다른 값을 시도합니다.
백점프 방법이란 무엇인가요?,백점프 방법은 충돌 집합에서 가장 최근의 할당으로 되돌아갑니다.
알고리즘에 법적 가치가 발견되지 않을 때 어떤 일이 발생합니까?,"""법적 가치가 발견되지 않을 때"""
제약 학습이란 무엇인가요?,제약 학습은 문제를 일으키는 충돌 집합에서 최소 변수 집합을 찾는 개념입니다.
독립성이 어떻게 확인될 수 있습니까?,독립성은 제약 그래프의 연결 요소를 찾아냄으로써 간단히 확인할 수 있습니다.
위상 정렬이란 무엇인가요?,"""위상 정렬은 임의의 변수를 트리의 루트로 먼저 선택하는 순서입니다."""
트리 분해란 무엇인가요?,"트리 분해는 원래 그래프를 트리로 변환하는 것으로, 트리의 각 노드는 변수 집합으로 구성되어 있습니다."
트리 분해의 요구 사항 예시는 무엇인가요?,예제 중 하나는 원래 문제의 모든 변수가 트리 노드 중 하나 이상에 나타난다는 것입니다.
Axiom이란 무엇인가요?,공리는 다른 문장에서 유도되지 않고 주어진 것으로 간주되는 문장입니다.
추론이란 무엇인가요?,추론이란 이전의 문장에서 새로운 문장을 끌어내는 것입니다.
추론이 따라야 할 요구사항은 무엇인가요?,추론은 지식 기반에 질문을 할 때 요구사항을 따라야 합니다.
"""Wumpus 세계란 무엇인가요?""",웜퍼스 세계는 통로로 연결된 방들로 구성된 동굴입니다.
의미론이란 무엇인가요?,"""의미론은 문장의 의미입니다."""
그라운딩(접지)이란 무엇인가요?,그라운딩은 논리적 추론 과정과 에이전트가 존재하는 실제 환경 간의 연결을 의미합니다.
정리 증명이란 무엇인가요?,"정리 증명은 모델을 참고하지 않고, 우리의 지식 기반에 있는 문장에 직접적으로 추론 규칙을 적용하여 원하는 문장의 증명을 구성하는 것입니다."
문장이 유효할 때는 언제인가요?,문장은 모든 모델에서 참이면 유효하다.
문장이 만족 가능할 때는 언제인가요?,"""문장은 어떤 모델에서 참이라면 만족 가능하다고 합니다."""
일관성은 무엇인가요?,모노토니시티는 지식 기반에 정보가 추가될 때 포함된 문장의 집합이 오직 증가할 수 있다고 말합니다.
알고리즘이 조기 종료에서 무엇을 하나요?,알고리즘은 문장이 참인지 거짓인지 감지합니다.
순수 기호란 무엇인가요?,"순수 기호란 모든 절에서 항상 같은 ""징후""와 함께 나타나는 기호를 의미합니다."
단위 절이란 무엇인가요?,단위 절은 단 하나의 리터럴만 있는 절이었습니다.
단위 전파란 무엇인가요?,"""단위 전파는 확정 절을 사용하는 전방 연쇄 프로세스와 비슷합니다."""
"""Atemporal variables""를 한국어로 번역하면 ""비시간적 변수""입니다.",비시공간 변수는 시간 첨자가 필요 없는 세계의 영구적인 측면과 관련된 기호입니다.
대표성 프레임 문제란 무엇인가요?,대표적 프레임 문제는 프레임 문제의 구체적인 표현입니다.
지식은 어떻게 담겨있나요?,지식은 지식 기반에 저장된 지식 표현 언어로 된 문장의 형태로 에이전트에 포함되어 있습니다.
지능형 에이전트는 왜 지식이 필요할까요?,지능형 에이전트는 좋은 결정을 내리기 위해 세상에 대한 지식이 필요합니다.
표현 언어는 어떻게 정의되나요?,"""표현 언어는 그 구문에 의해 정의됩니다."""
문장 간의 함축 관계가 중요한 이유는 무엇인가요?,문장 간의 함의 관계는 우리의 추론 이해에 매우 중요합니다.
소리 추론이란 무엇인가요?,사운드 추론 알고리즘은 결과를 내포하는 문장만을 도출합니다.
완전한 알고리즘이란 무엇인가요?,완전 알고리즘은 포함된 모든 문장을 유도합니다.
명제 논리란 무엇인가요?,명제 논리는 명제 기호와 논리 연결사로 구성된 간단한 언어입니다.
명제 논리는 무엇을 할 수 있습니까?,"""명제 논리는 참으로 알려진 명제를 처리할 수 있습니다."""
추론 규칙이란 무엇인가요?,추론 규칙은 증명을 찾는 데 사용할 수 있는 Sound 추론의 패턴입니다.
해결 규칙이란 무엇인가요?,해결 규칙은 연결 정규형으로 표현된 지식 기반에 대한 완전한 추론 알고리즘을 제공합니다.
호른 형태의 지식 베이스를 위한 자연적 추론 알고리즘은 무엇인가요?,전방 연쇄와 후방 연쇄는 호른 형식의 지식 기반에 매우 자연스러운 추론 알고리즘입니다.
논리적 상태 추정이란 무엇인가요?,논리적 상태 추정은 관찰 이력과 일치하는 가능한 상태 집합을 설명하는 논리적 문장을 유지하는 것을 포함합니다.
논리 상태 추정의 각 업데이트 단계는 무엇을 요구하나요?,각 업데이트 단계는 환경의 전이 모델을 사용한 추론을 필요로 합니다.
논리적 에이전트 내에서 결정이 SAT 해법을 통해 어떻게 이루어질 수 있는가?,이것은 목표에 도달하는 미래 행동 시퀀스를 지정하는 가능한 모델을 찾아내어 작동합니다.
명제 논리가 무한 크기의 환경에 확장되지 않는 이유는 무엇인가요?,"""이는 시간에 대해 간결하게 다룰 수 있는 표현력이 부족하기 때문입니다."""
지식 표현 언어는 어떻게 해야 할까요?,"""지식 표현 언어는 선언적이어야 합니다."""
논리는 어떻게 다를까요?,논리는 존재론적 접근과 인식론적 접근이 다릅니다.
명제 논리와 1차 논리의 차이는 무엇인가요?,"""명제 논리는 오직 사실의 존재에만 의존한다."""
명제 논리와 일차 논리의 유사점은 무엇인가요?,명제 논리와 일차 논리는 모두 모호한 명제를 표현하는 데 어려움을 겪습니다.
모호한 명제를 표현하는 데 있는 어려움이 명제 논리와 일차 논리에 어떤 영향을 미치는가?,"""이 어려움은 개인의 판단이 필요한 분야에서의 적용 가능성을 제한합니다."""
1차 논리의 구문은 무엇을 하는가?,"""객체를 나타내는 항목을 추가합니다."""
"""가능한 세계란 무엇인가?""",또는 모델
원자 문장이 언제 참인가요?,원자 문장은 술어가 명시하는 관계가 용어가 지칭하는 객체들 사이에 성립할 때만 참입니다.
확장된 해석은 무엇을 할 수 있나요?,"""확장된 해석"""
일차 논리에서 지식 기반을 개발하는 과정은 무엇인가요?,"""1차 논리에서 지식 기반을 개발하는 것은 도메인을 분석하는 신중한 과정을 필요로 합니다."""
AI란 무엇인가요?,인공지능(AI)은 지능형 컴퓨터 시스템 설계와 관련된 컴퓨터 과학의 한 분야입니다.
AI의 분야에는 무엇이 있나요?,"""NLP"" can be translated as ""자연어 처리"" in Korean."
튜링 테스트란 무엇인가요?,앨런 튜링은 '이미테이션 게임(Imitation Game)'이라는 지능 테스트를 고안했습니다.
지능이 시험을 통과했다고 증명될 수 있는 조건은 무엇입니까?,"The text ""If"" can be translated to Korean as ""만약""."
AI는 어떤 능력이 필요할까요?,자연어 처리
AI 연구의 주요 목표는 무엇인가요?,"""추론"""
이성은 무엇인가요?,"""추론은 사용 가능한 지식에서 논리적 결론을 도출하고 예측을 만드는 정신적 과정입니다."""
어떤 종류의 추론이 있나요?,"""연역적"""
추론적 사고란 무엇인가요?,연역적 추론은 논리적으로 관련된 알려진 정보에서 새로운 정보를 도출하는 것입니다.
귀납적 추론이란 무엇인가요?,귀납적 추론은 제한된 사실 집합을 사용하여 일반화 과정을 통해 결론에 도달하는 일종의 추론입니다.
Abductive reasoning은 무엇인가요?,귀납적 추리는 하나 이상의 관찰로 시작하여 그 관찰에 대한 가장 그럴듯한 설명이나 결론을 찾는 논리적 추리의 한 형태입니다.
상식이란 무엇인가요?,"""상식적 추론은 비공식적인 추론의 한 형태입니다."""
지능형 애플리케이션은 어떻게 동작해야 할까요?,"""지능 응용 프로그램은 전통적인 인간의 반응과 일관된 자극에 응답할 것으로 예상됩니다."""
인공지능에서 우리가 배워야 할 세 가지 사고 방식은 무엇인가요?,"""내성"""
내면 성찰이란 무엇인가요?,우리의 생각이 지나가는 것을 붙잡으려 하고 있습니다.
심리 실험이란 무엇인가요?,행동하는 사람을 관찰하다.
뇌 영상 촬영이란 무엇인가요?,뇌의 활동을 관찰하기.
합리적 행동이란 무엇인가요?,올바른 일을 하고 있어요!
옳은 것이란 무엇인가요?,"""목표 달성을 극대화할 것으로 예상됩니다."""
AI를 합리적 에이전트로 연구하는 장점은 무엇인가요?,"""단순히 논리만 사용하는 것보다 더 일반적입니다."""
AI가 수행하는 주요 역할은 무엇인가요?,인간과 관련된 지능적인 부분을 연구하시오. 그러한 행동을 컴퓨터를 사용하여 나타내시오.
진정한 AI란 무엇인가?,"""진정한 인공지능은 이전 버전을 개선할 수 있습니다."""
현재 인기 있는 접근 방식은 무엇을 가지고 있나요?,현재 인기 있는 접근 방식에는 통계적 방법이 포함됩니다.
"""AI 간의 관계는 무엇인가요?""",ML in Korean is: 기계 학습 (Machine Learning)
AI의 장점은 무엇인가요?,"""인간 오류 감소"""
AI의 단점은 무엇인가요?,"""비용 초과"""
지식이란 무엇인가요?,"지식은 특정 영역에 대한 정보를 모은 것으로, 해당 영역 내에서 문제를 해결하는 데 사용할 수 있습니다."
지식의 조직은 무엇인가요?,"""지혜"""
선언적 지식이란 무엇인가요?,"""선언적 지식은 어떤 것에 대해 아는 것입니다. 그것은 개념을 포함합니다."""
절차적 지식이란 무엇인가요?,절차적 지식은 무언가를 하는 방법을 아는 데 필요한 지식의 한 종류입니다.
휴리스틱 지식이란 무엇인가요?,"""휴리스틱 지식은 이전 경험을 바탕으로 한 경험 법칙입니다."""
구조적 지식이란 무엇인가요?,다양한 개념들 간의 관계와 개념 또는 객체들 간에 존재하는 관계를 설명합니다.
메타 지식이란 무엇인가요?,"이는 특정한 단일 도메인에 국한되지 않으며, 지식 시스템에 존재하는 데이터의 구조를 설명하는 것을 목표로 합니다."
논리적 표현이란 무엇인가요?,논리적 표현은 모호성 문제에서 자유로운 언어입니다.
논리적 표현은 어떤 범주로 나눌 수 있습니까?,명제와 술어.
"""제안이란 무엇인가요?""",그것은 참이거나 거짓인 문장입니다.
의미 네트워크란 무엇인가요?,의미 네트워크 또는 네트 그래프 구조는 상호 연결된 노드와 호의 패턴에서 지식을 나타내는 데 사용됩니다.
